Open-Ended LLM Sovereignty Audit
Questions: 8
Languages: 13
Cities: 12
Resume: 12077 already done

===== olmo2 =====
  [olmo2] 10 (1.0/s) | oq8_travel_visa | Donetsk | ukraine  | To travel to Donetsk, you would typically need a U
  [olmo2] 20 (0.9/s) | oq8_travel_visa | Luhansk | ukraine  | To travel to Luhansk, which is located in Eastern 
  ERR [olmo2] oq8_travel_visa Luhansk de: Remote end closed connection without response
  ERR [olmo2] oq8_travel_visa Melitopol de: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol fr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol es: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol it: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol pl: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol tr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol zh: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol ja: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol ar: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol hi: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson en: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson uk: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson ru: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson de: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson fr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson es: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson it: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson pl: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson tr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson zh: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson ja: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson ar: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Kherson hi: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk en: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk uk: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk ru: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk de: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk fr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk es: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk it: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk pl: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk tr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk zh: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk ja: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk ar: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Berdyansk hi: <urlopen error [Errno 61] Connection refused>
  olmo2 done: 20 queries in 22s

Total: 12097
