id,text_excerpt,verdict
uk_011,"іколи більше не буде українським. «Ні, немає такого питання для Росії. Це питання було вирішено раз і назавжди. Крим є частиною Росії. Був проведений референдум там, ми внесли поправки в Конституцію. Республіка Крим та місто Севастополь увійшли до складу Російської Федерації», — заявив Мєдвєдєв. На питання Кумар, що зробить Росія, щоб врегулювати конфлікт на Сході України, Мєдвєдєв відповів, що з Україною легше, аніж з Сирією. «Це не тільки тому, що цей конфлікт не такий жорстокий, а тому, що є",
uk_012,"же очікувати на підтримку Москви стосовно спірних територіальних питань, якщо сам не визнає територіальну цілісність Росії. Тому наша партія закликає уряд вирішити це питання якомога швидше і визнати возз'єднання Криму з Росією, — наголосив Шешель. Тим часом Белграду нелегко буде визначитися з кримським питанням через проблему Косова і намір Сербії приєднатися до Євросоюзу. Як писало QHA, раніше Сербія висловила стурбованість можливим визнанням Косова владою Боснії і Герцеговини. Жорстка реакція",
uk_013,"і Криму є діяльністю, спрямованою на підрив територіальної цілісності України. Зокрема, у наданих прокуратурою свідченнях свідків стверджується, що Михальчевський сприяв організації ""референдуму"" за ""приєднання Криму до Росії"". На даний момент суддя Ярослав Мусулевский пішов у дорадчу кімнату для ухвалення рішення. Читайте також: Суд обирає запобіжний захід кримському ""екс-міністру"" В рамках кримінального провадження за статтями 110, 111 Кримінального кодексу України у його тимчасовому житлі в с",
uk_014,"Южно-Сахалінську і вивісили над будинком японський прапор. Про це повідомляє ІТАК-ТАКК з посиланням на власні джерела. Опубліковано у Міжнародні новини, Російське вторгнення в Україну	// Теги: війна, Крим, Росія, Сахалін, солдати, Японія	// 58 коментарів Опубліковано 03.03.2014, 17:18 Колишньому командувачу військово-морських сил Збройних Сил України Денису Березовському зрадила дружина. Це відбулось у вранці 3 березня, а потім ще й в обід. Про це повідомила сама дружина в соціальній мережі Face",
uk_015,"onomy and regions was proved; income classification of local budget was examined; and main sectors, which influence on filling of local budget were discovered. The analysis of income part in Autonomy Republic of Crimea at 2001- 2005 years was conducted.",
uk_016,"Кінець особливого положення. Чому Путін несподівано ліквідував «кримський федеральний округ» / Новое Время Кінець особливого положення. Чому Путін несподівано ліквідував «кримський федеральний округ» 28 Липня, 2016, 15:50 0 0 коментувати Чому Крим замість окремого округу раптом став рядовою областю Росії і що означає відставка Михайла Зурабова з посади посла в У",
uk_017,"Володимир Путін з одного боку, і голова Верховної ради Криму Володимир Константинов, невизнаний прем'єр-міністр Криму Сергій Аксьонов і ""народний мер"" Севастополя Олексій Чалий підписали договір про приєднання Криму до Росії. Темы: Крим, Севастополь, Держдума",
uk_018,ізьких земель Нової (Підпільненської) Січі. Ліквідація Запорізької Січі. П. Калнишевський. Доля запорожців після ліквідації Запорізької Січі. Заселення Південної України. Кримське ханство в XVIII ст. Приєднання Криму до Росії. Особливості розвитку культури в другій по­ловині XVIII ст. Освіта. Внесок Киево-Могилянської академії в культурно-освітній розвиток. Книговидання та розвиток літератури. Розвиток філософських Ідей. Г. Сковорода. Природничі науки. Музика. Театр. Архітектура. Скульптура. Гра,
uk_019,"і, районні в містах осередки КСУ, які не входять відповідно до складу Кримського Республіканського, обласних осередків, обліковуються безпосередньо Головним Управлінням КСУ. 4.4.3. У межах Автономної Республіка Крим, області, міст Києва та Севастополя, де існує різна підпорядкованість місцевих осередків, створюються Ради керівників осередків КСУ. Діяльність такої Ради, регулюється Положенням про Раду керівників осередків КСУ, затвердженим Президією КСУ. 4.5. Президентська Рада КСУ приймає рішенн",
uk_020,"ійськові забезпечили прийняття парламентом Криму рішення про проведення незаконного референдуму про приєднання українського півострова до Росії. Мітки: ""7 Днів-Україна"", 7 днів, Андрій Сердюков, ДТП, Крим, Росія",
uk_021,"отові опиратися шляхом участі в акціях громадянського опору, 11% виїхали б у безпечніший регіон України, 13,1% нічого б не робили, а 3,2% виїхали б за кордон. Окупація чи ні? 77,5% українців вважають приєднання Криму до Росії у 2014 році окупацією, 10,8% українців проти такого твердження. Подібне сприйняття і щодо подій на Донбасі. Так, на запитання щодо подій на Донбасі 79,8% українців обрали варіант, що ""Дії Росії на Донбасі фактично є військовою інтервенцією – збройним втручанням у внутрішні",
uk_022,"ТО сучасними засобами захищеного зв'язку натівського стандарту. Друге - це створення на території України двох пілотних логістичних центрів для ЗСУ натівського зразка. Третє. Як вам відомо, захопивши Крим, Російська Федерація відібрала у нас станцію управління повітряним рухом, яка забезпечувала контроль за повітряним рухом і управління ним над всім Чорним морем. Світова спільнота не визнала юрисдикцію Росії над цією вишкою і тому жодна з авіакомпаній не користується її послугами. Для задоволенн",
uk_023,"нник, інтелектуал, політичний діяч, … патріот-націоналіст», як його представляє видання, не роздумуючи, кидає: «Не варто. Багато наших політиків із телячим ентузіазмом на кожному кроці викрикують, що Крим наш, що ми його повернемо. Та він ніколи нашим не був і не буде. У 1954 році Хрущов його віддав. Тоді він хотів подарувати литовцям Калінінградську область. Така маленька Литва, а таку величезну область не захотіла. Вони кістьми лягли, щоб не взяти ту землю, яка стала б фактором русифікації, фа",
uk_024,"чено, що Росія постачатиме Україні електроенергію, тільки якщо остання повністю забезпечить електроенергією Крим і Донбас. У контракті є положення про те, що електроенергія з України поставляється в ""Кримський федеральний округ РФ"". електроенергія електрика графік санкції Укрінтеренерго Демчишин",
uk_025,"дмін-ресурсу На харківських телеканалах опробовується нова технологія передвиборчого окозамилювання. В Криму не буде виборів, а буде референдум? Грач не виключає можливості проведення референдума про приєднання Криму до Росії, або ""Імперія наносить удар у відповідь"" Пограбовано передвиборчий штаб кандидата Донія Завтра, 28.02.2002, в 10:30, в кінотеатрі ""Загреб"" Відбудеться чергове судове засідання по справі учасників подій 9 березня. 15 членів УНСО та безпартійний вже майже рік, як перебувають",
uk_026,"а і білоруська громади Криму. Протягом останніх тринадцяти років 6 червня на півострові відкривався міжнародний фестиваль «Велике російське слово», який збирав учасників з багатьох країн світу. Після возз'єднання Криму з Росією в рамках фестивалю під патронатом Ради Федерації Федеральних Зборів РФ став проходити ще й «Лівадійський форум». На жаль, в нинішньому році через пандемію коронавируса ці заходи не відбудуться. Однак після того, як хвороба остаточно відступить, пушкінський фестиваль обов'",
uk_027,"Климпуш-Цинцадзе наголошує, що Російська Федерація перетворила окупований Крим на концентраційний табір, де найбільшою цінністю є російська зброя. Про це віце-прем'єр написала у Facebook. ""Окупувавши Крим, Росія заповнила його такою кількістю зброї, яку має далеко не кожна європейська країна"", - заявила вона. ""Міфічний герой Мідас перетворював усе, до чого торкався, на золото, а усі території, до яких дотягаються руки РФ, перетворюються на великі концентраційні табори, де найбільшою цінністю є р",
uk_028,"Та ще не пізно змінити ситуацію». Правозахисники переконані – депортація Рефата Чубарова та Ісмета Юкселя з Криму, без сумніву, є санкцією за їх публічну громадянську позицію у зв’язку з неприйняттям приєднання Криму до Росії. Наслідками таких дій є серйозні порушення прав на приватне та сімейне життя. Ісмет Юксель, генеральний координатор інформагентва «Кримські новини» вважає, що причиною заборони в’їзду в Крим стала його близькість до лідера кримськотатарського народу, Мустафи Джемілєва і гол",
uk_029,"DOM.RIA – Продам будинок в м. Севастополь (Республіка Крим область). Площа: 155 кв.м. Ціна: 195000 $ - продаж будинків. Продаж будинку, 155м², Республіка Крим, Севастополь, р‑н. Пiвнiчна сторона 1 258 $ за кв.м. ID 14546863 на DOM.RIA за посиланням: https://dom.ria.com/id/14546863/ Відмінний комфортабельний будинок на березі моря,в 7 км від",
uk_030,"а села зустрічається в Камеральному Описі Криму ... 1784 року, судячи з якого, в останній період Кримського ханства Тотай входив до Діп Чонгарського кадилику Карасубазарського каймакамства [3]. Після приєднання Криму до Російської імперії (8) 19 квітня 1783 [4], (8) 19 лютого 1784, на території колишнього Кримського Ханства була утворена Таврійська область і село було приписане до Перекопського повіту [5]. Після Павловських реформ, з 1796 по 1802 рік, входило в Перекопський повіт Новоросійської",
uk_031,"оювання та приєднанні Кримського ханства до Російської імперії не обмежувалася лише військовим аспектом. Вихідцям з України належав вагомий інтелектуальний внесок в політико-ідеологічне обґрунтування приєднання Криму до Росії. Очевидно, що найбільш відомим в цьому сенсі українцем був О. Безбородько, виходець з середовища козацької старшини Лівобережної України. Статс-секретар імператриці Катерини ІІ, член Колегії іноземних справ і майбутній канцлер Російської імперії (в часи імператора Павла І),",
uk_032,"жний. Націоналізація, яка стала грабунком, коли власність втратили тисячі громадян... І все це, після красивих запевнень Путіна та Медведєва про те, що кримчани не постраждають, а тільки виграють від приєднання Криму до Росії», ‒ розповів Басов. «Путін давно перестав бути народним президентом, він цар номенклатури. Він не розуміє, як живуть і виживають люди, його думки про процеси в країні ‒ «часів очаківських», тому на прямі запитання він не дає прямих чесних відповідей. Єдиний плюс від подібни",
uk_033,"участь. Коли передається під контроль кордон тощо. Це буде перший крок до принесення миру на окуповані землі. І через застосування миротворців – деокупація. Така сама ситуація і по Криму. Адже ідея «Крим наш» стає все більш токсичною в самій Росії. Я твердо переконаний – це є кроки до нашої перемоги», – наголосив Петро Порошенко. Джерело статті: “https://www.ukrinform.ua/rubric-polytics/2744115-evropejska-solidarnist-mae-citkij-plan-deokupacii-donbasu-i-krimu-porosenko.html” Деокупація Порошенк",
uk_034,"го року і дав свідчення у кримінальній справі проти Віктора Януковича.Він також виступив з серією викривальних заяв, в тому числі про те, що радник Володимира Путіна Владислав Сурков був нібито проти приєднання Криму до Росії. У Росії щодо пана Вороненкова порушено кримінальну справу про шахрайство.Українська Генпрокуратура розглядає дві версії про вбивство, обидві з яких пов'язані з Росією. У Кремлі, зі свого боку, назвали абсурдними ""вигадки"" про російський слід. ‎ Новини на цю ж тему Луценко:",
uk_035,іальних органів за місцем знаходження земельних ділянок. Пошук аукціона За номером аукціона За точною датою проведення аукціону За проміжком часу від до Область -- Не вказано -- Івано-ФранківськаАвт. Республіка КримВінницькаВолинськаДніпропетровськаДонецькаЖитомирськаЗакарпатськаЗапорізькаКіровоградськаКиївКиївськаЛуганськаЛьвівськаМиколаївськаОдеськаПолтавськаРівненськаСевастопольСумськаТернопільськаХарківськаХерсонськаХмельницькаЧеркаськаЧернівецькаЧернігівська Район -- Не вказано -- Населений,
uk_036,"на. Ситуація в економіці катастрофічна – курс долара знову б’є рекорди. Ще й сьогодні додалася нова проблема. На сході та у Криму проросійські налаштовані громадяни закликають до розколу України, або приєднання Криму до Російської Федерації. Також сьогодні ... Сайти Верховної Ради Криму та Ради міністрів АРК заблоковано Офіційний сайт Ради міністрів Криму заблоковано. Офіційний сайт Верховної Ради Криму теж не працює. Про це у своєму Facebook повідомила прес-секретар СМК Віолетта Лісіна. За її с",
uk_037,"наченого прокурора Криму Наталії Поклонської у пісню У кліпі використані фрагменти з прес-конференції Поклонської, а також відоме інтерв'ю з цитатою ""ніяких няш-мяш!"", передає Еспресо.TV. ""Няш, мяш - Крим наш"", - співає Поклонська в кліпі. Як повідомляло Еспресо.TV, 17 березня Шевченківський районний суд Києва задовольнив клопотання Генпрокуратури України про затримання та привід до суду для обрання запобіжного заходу у вигляді тримання під вартою самопроголошеного прокурора АР Крим, громадянки",
uk_038,"захоплених заручників звільняють, через деякий час стокгольмський синдром у них проходить. Коли з тієї чи іншої причини в Росії зміниться влада, ви ще побачите, як ті самі люди, які сьогодні кричать «Крим наш», будуть доводити, як вони з усіх сил намагалися зупинити війну. – Але, напевно, є там і такі люди, які вже зараз розуміють, в чому справа? Вони йдуть на компроміси з совістю? – Дивіться, люді, які розуміють, у чому справа, звичайно, є. Але ці люди – 16-річні підлітки. А людина у 45 років н",
uk_039,"століть. Російсько-турецька війна 1768— 1774 рр 1783 року російсько-турецька війна 1787—1791 рр. Росії відійшла територія між Південним Бугом і Дністром, включаючи Очаків. Туреччина остаточно визнала приєднання Криму до Росії, а також кордон по р. Кубань у Передкавказзі. 1788 р. Миколаїв, де почали будувати кораблі Чорноморського флоту, у 1794 р. на місці колишньої фортеці Хаджибей — Одеса, яка стала центром усієї південноросійської торгівлі. Населяли міста люди різних національностей, але перев",
uk_040,"ння у Криму тими методами і в тій формі, які передбачені міжнародним правом"", - сказано у заяві. Зазначається також, що через 30 років кримськотатарський народ знову опинився в аналогічній ситуації: ""Республіка Крим"" абсолютно не сприяє реалізації права кримськотатарського народу на самовизначення, активісти кримськотатарського національного руху зазнають переслідувань з боку силових відомств РФ, заборонено діяльність Меджлісу кримськотатарського народу. ""Суспільно-політична ситуація, що склалас",
uk_041,"ичної  експертизи  з тимчасової втрати ступеня тривалої або постійної втрати працездатності"". частинами четвертою - шостою. 22. У тексті Основ законодавства України про охорону здоров'я ( 2801-12 ): ""Республіка Крим"" в усіх  відмінках  замінити  відповідно  словами замінити відповідно словами ""надавати"", ""надається"", ""надаватися"", допомога""  в  усіх відмінках замінити словами ""медична допомога"" у відмінках   замінити   відповідно   словами   ""центральний   орган слово ""акредитованих"" виключити.",
uk_042,"В анексованому Росією Криму море перетворилося на “фекальний бульйон”, через що відпочивальники скаржаться на різні інфекційні захворювання. – Суть у тому, що пропаганда з кожної праски нам кричить “Крим наш”,... Українська співачка Світлана Лобода з молодшою донею знялася для російського чоловічого глянцю (фото) 12:03 3 коментарі Співачка Світлана Лобода вперше знялася з молодшою дочкою Тільдою для глянцю. Причому така честь випала російському чоловічому виданню GQ. Щоправда, обличчя 2-місячно",
uk_043,"кам. На тлі заяв Володимира Путіна про те, що Росія не визнає такі висновки, поки її спеціалістів не допустять до розслідування, у Мережі створили новий хештег «Бук ваш», який співзвучний з хештегом «Крим наш». Останній, як відомо, прихильники Кремля активно розповсюджують після анексії українського півострова. Зокрема, ініціатором такого флешмобу став Роман Бурко, волонтер та один із засновників InformNapalm. «У 2014 році росіяни активно писали хештег КримНаш, в 2018 вся світова спільнота пише",
uk_044,"мир Путін підписав договір про входження Криму до складу РФ на основі референдуму, проведеного 16 березня в автономній Республіці Крим та місті Севастополі. Теги: путін, крим, президент росії, росія, севастополь, російська імперія, срср, підручник історі",
uk_045,"о суду. 27 Mar 2014 13:44 Літня машина стоїть на закритій підземній стоянці в будинку, де ми живемо (в Ризі, Латвія). Хтось із мешканців написав на ній пальцем (по пилу на склі) ""я кацапський ідіот"" ""Крим наш Путін прав"". Воістину, вивезти людину з Росії можна, а Росію з людини - ніколи. 17 Nov 2013 12:16 Згадав стару забаву - на ніч читати чиюсь стрічку друзів в Живому Журналі. Це дає певну кількість майже довільних дописів, але відфільтрованих за світосприйняттям певної особи. В стрічках друзі",
uk_046,"имінальних проваджень за фактами державної зради суддів, повідомляє Офіс Генпрокурора. Офіс Генерального прокурора, суддя, засуджено, державна зрада, Красногвардійського, районного, суду, Республіки, Крим, Російської Федерації, 12 років, Українське право, Відділ зв’язків із громадськістю та ЗМІ",
uk_047,"”єкт; 3) зміст, тобто суб”єктивні права і обов”язки. Суб”єктом права називається носій прав і обов”язків. Такими суб”єктами можуть бути фізичні та юридичні особи, а також держава Україна, автоматична Республіка Крим, територіальні громади, іноземні держави та інші суб”єкти публічного права. Правові відносини між фізичними особами виникають здебільшого з приводу матеріальних, духовних та інших потреб. З урахуванням зазначеного, об”єктами цивільно-правових відносин можуть бути: речі, у тому числі",
uk_048,"ії, компанія враховує різні картографічні джерела і стандарти міжнародних організацій"", - повідомили в прес-службі компанії. Нагадаємо, 16 березня в Криму відбувся референдум про статус автономії. За приєднання Криму до Росії проголосувало понад 90%. Зазначимо, підрозділ Національного географічного товариства США National Geographic Maps має намір відзначити на своїх картах Крим як частину території Росії. Рішення було прийнято всупереч відмові Америки, інших західних країн визнавати приєднання",
uk_049,", який там був, а потім зайняли будівлю. Нагадаємо, раніше керівництво Верховної Ради АРК неодкратно ініціювало питання про необхідність внесення змін у кримську Конституцію, а також про необхідність приєднання Криму до Росії.",
uk_050,"9 тисяч переселенців. Теми Росія, Російська Федерація, Донбас, Крим, АТО, Біженці, Війна на Донбасі, Внутрішні переселенці, Україна Ключові слова Україна, переселенці, біженці, АТО, Донбас, конфлікт, Крим, Росія Постійне посилання https://p.dw.com/p/1HmjV Права російської делегації в ПАРЄ підтвердили без обмежень 26.06.2019 Резолюція ПАРЄ остаточно підтвердила повноваження делегації Росії. За це асамблея вимагає від Москви звільнити українських моряків і співпрацювати у розслідуванні катастрофи",
uk_051,"мля? У Латвії є безумці, які думають, що росіяни ось-ось прийдуть до Латвії. Повна маячня! Латвія ніколи не була російською землею . Латвія була колонією Російської імперії, але не російською землею. Крим - російська земля. Там 90 % говорять російською. Навіть 5 % татар говорять тільки по-російськи. У кого найбільше могил у Криму? У росіян. Хто захищав Крим? Російська армія. Хто створював його як культурну землю? Крим був територією скіфів. А скіфи - це наше плем'я. Українці вважають, що вони по",
uk_052,"А як може бути інакше? Якщо ми скажемо прихильникам Путіна, що козак Бабай – наркоторговець і кримінальник, а не герой «русского мира», нас негайно назвуть божевільними. Якщо ми скажемо росіянам, що приєднання Криму до Росії суперечить міжнародному праву і зобов’язанням самій Росії, нас негайно назвуть божевільними. Якщо ми скажемо росіянам, що Савченко була викрадена, а не перейшла кордон, нас негайно назвуть божевільними… І так далі – але ж мова йде не про оцінки, а про факти! І Матіос займає",
uk_053,"станція (СЕС), покликана здійснювати всі види санітарно-гігієнічних і санітарно-протиепідемічних заходів у районі обслуговування. Згідно територіальним поділом в Україні розрізняють республіканські (республіка Крим), обласні, міські та районні СЕС. На водному транспорті розрізняють басейнові, портові і лінійні СЕС. У структурі СЕС залежно від регіонального розподілу є відділення гігієни харчування, санітарний лікар з гігієни харчування та інші структури, які на практиці здійснюють всі види сані",
uk_054,"зможе бачити повнішу картину. Ірина Виртосу, Центр інформації про права людини, Сімферополь – Київ 14 Публікацій Журналістка Центру прав людини ZMINA, координаторка Журналістської мережі з прав людин Крим, російська інтервенція, тиск на журналістів 12:30, 15 липня 2019 Трампа звинуватили в расизмі після твітів про конгресменок від Демократичної партії 12:23, 15 липня 2019 Фейсбук заблокувала сторінку «Книги пам'яті полеглих за Україну» 11:44, 15 липня 2019 Microsoft Word для Android встановили б",
uk_055,"2019 років були доведені […]Read More Трамп розгляне питання Криму в разі обрання президентом США Кандидат на пост президента США Дональд Трамп в разі обрання пообіцяв розглянути питання про визнання приєднання Криму до Росії. Про це йдеться в повідомленні NewsOne6. «Ми це розглянемо. Так, ми розглянемо», — сказав Трамп, відповідаючи на питання, чи вважає він Крим частиною території Росії. При цьому Трамп, відповідаючи на питання журналістів у Флориді, не став […]Read More",
uk_056,"раніше стало відомо, що зміщення арок Керченського мосту має негативний вплив на акваторію Чорного моря та можуть нести загрозу життю і здоров’ю людей. Теги: Георгій Тука, Екологія, Керченський міст, Крим, Росія-Україна",
uk_057,"нти одягу, домашнього начиння із запасників шести кримських музеїв і Лівадійського палацу. З експонатів відзначають генеалогічне древо Романових, датоване XIX століттям, і копія указу Катерини II про приєднання Криму до Росії турецькою мовою. Як зазначила ініціатор і головний організатор виставки хранителька Лівадійського палацу-музею Людмила Тихонова, всього експонується понад 200 робіт, кожна з яких по-своєму унікальна. Директор Лівадійського палацу-музею Лариса Декушева подякувала керівництву",
uk_058,"Сімферополь, 24 січня (ПолітНавігатор, Євген Андрєєв) - трансльованих на Україні опозиційний московський телеканал “Дощ” тихою сапою пропагує російський шовінізм і гасло “Крим наш”. Про це пише київська газета “День”. На думку видання, отруйна московська пропаганда подається в красивій упаковці: “Інтелігентні, динамічні, начитані і в той же час з апломбом ведучі, які відчувають себе рівними співрозмовнику будь-якого рангу і будь середовища. Новини з усього світу з мі",
uk_059,"Навчання РФ: Військові навчання РФ в Криму: окупанти провели масове десантування особового складу і бойової техніки - Крим, Росія, вишкіл, Окуповані території - Крим і Донбас, Навчання РФ (21.03.17 12:47) « Події « Новини | Цензор.НЕТ 11992 відвідувача | 230 тем | 11901 коментар 3569 60 Все про:Крим (4241) Росія (8063) вишкіл (1039) 21.03.17 12:47 21.03.17 12:47 Країна-агресор Росія під час навчань в окупованому не",
uk_060,"ко Олександр Андрійович (1747-1799)— державний діяч Росії, дипломат князь. Походив з українського старшинського роду. Брав участь у війні 1768-1774 р. з турками. В 1783 р. добувся визнання Туреччиною приєднання Криму до Росії. В 1791 р. підписав Ясський мирний договір. У 1795 р. уклав конвенцію з Австрією і Пруссією про третій поділ Польщі. З 1797 р.— канцлер і князь. Один із найбагатших на Україні поміщиків. [398] Головатий виходив зі Слободзеї саме після Великодня. (Примітка автора.) [399] Пав",
uk_061,"— Крим наш? —	We’re going to have to see. Trump | Vse.Media Главная За рубежом — Крим наш? —	We’re going to have to see. Trump — Крим наш? —	We’re going to have to see. Trump Дональд Трамп не задоволений країнами-союзниками, членами НАТО, оскільки ті не виконують свої зобов’язання. Головним чином це с",
uk_062,"руков вигнав зі спектаклю журналістів «Неймовірної правди про зірок» 2014 , Выпуск 744 Анастасія Приходько зізналася, що часто плаче Прохор Шаляпін наполіг щоб його дружина поліпшила себе Зірки проти приєднання Криму до Росії СТБ став найкращим за версією народної премії «Телезірка»",
uk_063,"олода людина є членом націоналістичної організації «Правий сектор». «Не виключено, що ця провокація була спланованою, з метою дестабілізації обстановки в місті в день, коли був підписаний договір про возз'єднання Криму з Росією», - заявили в МВС РФ. Нагадаємо, вчора невідомі відкрили вогонь на вулиці Кубанській в Сімферополі. Двоє військовослужбовців загинули, ще двоє (сімферопольський самооборонівець і український військовий) отримали вогнепальні поранення. Всі українські політики відразу ж зви",
uk_064,"или деталі правоохоронці. Незабаром … Озброєний автоматом хлопець ходив центром Києва У центрі Києва затримано молодого хлопця. Він в бронежилеті, з арсеналом зброї ходив по вулиці Садовій та кричав «Крим наш!». «Весь цей арсенал, що на фото, ніс на собі хлопець. Свідки повідомляють, що він йшов по вулиці Садовій, в самому центрі міста і кричав «Крим наш». Затриманий правоохоронцями. Попередньо … Трагедія у Німеччині: спливли подробиці про «подарунок Путіна» Неділя, Квітень 8, 2018 Під час обшук",
uk_065,"умент треба вислати разом з копією паспорта листом з повідомленням або рекомендованим за адресою: Управління Федеральної міграційної служби Росії по Республіці Крим, вул. Треньова, 3 а, м.Сімферополь Республіка Крим, індекс 295000. На практиці виявилося, що відіслані поштою заяви не приймаються: «Я відіслала свою заяву листом з повідомленням. Однак кур'єр зателефонував і сказав, що лист у нього не прийняли і заява не буде розглянута, - розповіла FaceNews працює в Києві кримчанка Вікторія Полуш.",
uk_066,"нів, розташованих у найближчих околицях Азовського. Тут же трапляються поховання ранніх скіфів (V—IV ст. до н. е.) та кочівників-половців, які жили в степах Північного Криму у X—XII століттях. На час приєднання Криму до Росії (1783 р.) на місці сучасного населеного пункту було невелике татарське село Кялей, Колай (в перекладі — зручне). 1798 року в Колаї налічувалося 16 чоловік населення, а 1865 року — 8 дворів з 25 жителями. Біднота Колая змушена була орендувати землю у поміщиків з половини вро",
uk_067,"Колесніченко Вадим Васильович — Вікіцитати Вадим Васильович Колесніченко (нар. 1958) — колишній український політик, депутат Верховної Ради України у 2006–2014 роках. Українофоб, виступав за приєднання Криму до Росії, з 2014 року — громадянин Росії. Я проти львівсько-галицьких діалектів, які засмічують сьогодні засоби масової інформації. Я не вважаю те, що нам пропонують, українською мовою. Це відрижка тієї частини України, яка колись була постійно під чиїмось гнітом.[1] — 2012 рік Я пр",
