#,doi,ru_score,c4_lang,url,openalex_url,doi_context,text_start,verified_ru_framing
11,10.15826/urej.2018.2.1.001,1.0,ru,https://journals.urfu.ru/index.php/urj/article/view/3123/0,https://openalex.org/works/doi:10.15826/urej.2018.2.1.001,"нологии» : рефераты докладов (на русском и английском языках) (10–16 сентября 2017, г. Севастополь, Крым, Россия). С. 1562–1569. DOI: https://doi.org/10.15826/urej.2018.2.1.001","Использование пучков Гаусса в качестве математической модели сигнала систем ближней радиолокации | Штыков | URAL RADIO ENGINEERING JOURNAL Главная > Том 2, № 1 (2018) >	Штыков Использование пучков Гау",
12,10.17759/langt.2019060102,1.0,ru,https://psyjournals.ru/langpsy/2019/n1/Djemileva.shtml,https://openalex.org/works/doi:10.17759/langt.2019060102,"Лев Толстой и крымскотатарская литература - Язык и текст - 2019. Том. 6, № 1 2019. Том. 6, № 1. С. 17–21 doi:10.17759/langt.2019060102 Лев Толстой и крымскотатарская литература 190 Джемилева А.А., кандидат филологических наук, доцент кафедры крымскот","Лев Толстой и крымскотатарская литература - Язык и текст - 2019. Том. 6, № 1 2019. Том. 6, № 1. С. 17–21 doi:10.17759/langt.2019060102 Лев Толстой и крымскотатарская литература 190 Джемилева А.А., кан",
13,10.17759/langt.2019060103,1.0,ru,https://psyjournals.ru/langpsy/2019/n1/Djemileva.shtml,https://openalex.org/works/doi:10.17759/langt.2019060103," ве санъат нешрияты, 1988. - 114 б. Научная жизнь	| Меметова Л.А. Литературно-художественный процесс на страницах «Алем-и субьян» («Детский мир») doi:10.17759/langt.2019060103 Научная жизнь	| Фетиева Э.О. doi:10.17759/langt.2019060105","Лев Толстой и крымскотатарская литература - Язык и текст - 2019. Том. 6, № 1 2019. Том. 6, № 1. С. 17–21 doi:10.17759/langt.2019060102 Лев Толстой и крымскотатарская литература 190 Джемилева А.А., кан",
14,10.17759/langt.2019060105,1.0,ru,https://psyjournals.ru/langpsy/2019/n1/Djemileva.shtml,https://openalex.org/works/doi:10.17759/langt.2019060105,а Л.А. Литературно-художественный процесс на страницах «Алем-и субьян» («Детский мир») doi:10.17759/langt.2019060103 Научная жизнь	| Фетиева Э.О. doi:10.17759/langt.2019060105,"Лев Толстой и крымскотатарская литература - Язык и текст - 2019. Том. 6, № 1 2019. Том. 6, № 1. С. 17–21 doi:10.17759/langt.2019060102 Лев Толстой и крымскотатарская литература 190 Джемилева А.А., кан",
15,10.18470/1992-1098-2018-4-47-56,1.0,ru,https://ecodag.elpub.ru/ugro/article/view/1397,https://openalex.org/works/doi:10.18470/1992-1098-2018-4-47-56,"ФАУНЫ СЕВЕРО-ЗАПАДНОГО ПОБЕРЕЖЬЯ КРЫМСКОГО ПОЛУОСТРОВА | Костин | Юг России: экология, развитие Главная > Том 13, № 4 (2018) > Костин https://doi.org/10.18470/1992-1098-2018-4-47-56 черногрудый воробей, Passer hispaniolensis, особо охраняемая природн","ЧЕРНОГРУДЫЙ ВОРОБЕЙ (PASSER HISPANIOLENSIS) – НОВЫЙ ВИД ГНЕЗДОВОЙ ФАУНЫ СЕВЕРО-ЗАПАДНОГО ПОБЕРЕЖЬЯ КРЫМСКОГО ПОЛУОСТРОВА | Костин | Юг России: экология, развитие Главная > Том 13, № 4 (2018) > Костин ",
16,10.23670/IRJ.2019.90.12.066,1.0,ru,https://research-journal.org/pedagogy/issledovanie-vzaimosvyazi-yazyka-i-kultury-v-professionalnoj-podgotovke-perevodchikov/,https://openalex.org/works/doi:10.23670/IRJ.2019.90.12.066,И КУЛЬТУРЫ В ПРОФЕССИОНАЛЬНОЙ ПОДГОТОВКЕ ПЕРЕВОДЧИКОВ | Опубликовать статью РИНЦ | Международный научно-исследовательский журнал DOI: https://doi.org/10.23670/IRJ.2019.90.12.066 Скачать PDF ( ) Страницы: 100-104 Выпуск: № 12 (90) Часть 2 () Искать в ,ИССЛЕДОВАНИЕ ВЗАИМОСВЯЗИ ЯЗЫКА И КУЛЬТУРЫ В ПРОФЕССИОНАЛЬНОЙ ПОДГОТОВКЕ ПЕРЕВОДЧИКОВ | Опубликовать статью РИНЦ | Международный научно-исследовательский журнал DOI: https://doi.org/10.23670/IRJ.2019.9,
17,10.24852/pa2019.2.28.210.223,1.0,ru,http://archaeologie.pro/ru/archive/28/558/,https://openalex.org/works/doi:10.24852/pa2019.2.28.210.223,"огия Могаричев Ю.М. (Симферополь, Россия), Ергина А.С. (Санкт-Петербург, Россия) стр. 210–223 УДК 75.052(477.75) +72.684(477.75) DOI: https://doi.org/10.24852/pa2019.2.28.210.223 (894.92 Кб) В статье рассматриваются специфика иконографии и особенност","Фресковые росписи пещерной церкви Южного монастыря Мангупа: специфика иконографии и особенности композиционного решения - Поволжская археология Могаричев Ю.М. (Симферополь, Россия), Ергина А.С. (Санкт",
18,10.25555/THR.2017.2.0778,1.0,ru,http://thrj.ru/index.php/thrj/article/view/1,https://openalex.org/works/doi:10.25555/THR.2017.2.0778,. Самарин ФГАОУ ВО «КФУ им. В. И. Вернадского» М. И. Федосов ФГАОУ ВО «Крымский федеральный университет имени В. И. Вернадского» DOI: https://doi.org/10.25555/THR.2017.2.0778 Острая массивная кровопотеря (ОМК) остается тяжелым осложнением с высокой л,"Дифференцированное назначение гемостатических средств при острой массивной кровопотере | Тромбоз, гемостаз и реология Дифференцированное назначение гемостатических средств при острой массивной кровопо",
19,10.26516/1997-7670.2018.26.105,1.0,ru,http://www.mathnet.ru/php/archive.phtml?wshow=paper&jrnid=iigum&paperid=360&option_lang=rus,https://openalex.org/works/doi:10.26516/1997-7670.2018.26.105,"стему. Ключевые слова: идеальная стратифицированная жидкость, крошеный лед, задача Коши, операторное уравнение, сильное решение. DOI: https://doi.org/10.26516/1997-7670.2018.26.105 Поступила в редакцию: 10.10.2018 Образец цитирования: Д. О. Цветков, ","Известия Иркутского государственного университета. Серия Математика, 2018,	том 26,	страницы 105–120	(Mi iigum360) Крымский федеральный университет им. В. И. Вернадского, Симферополь, Российская Федера",
20,10.29001/2073-8552-2016-31-4-26-29,1.0,ru,https://cardiotomsk.elpub.ru/jour/article/view/245,https://openalex.org/works/doi:10.29001/2073-8552-2016-31-4-26-29,"ИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ И СТАБИЛЬНОЙ СТЕНОКАРДИЕЙ | Игнатенко | Сибирский медицинский журнал Главная > Том 31, № 4 (2016) > Игнатенко https://doi.org/10.29001/2073-8552-2016-31-4-26-29 эндотелиальная дисфункция, гипертоническая болезнь, стабильная ст","ДИСФУНКЦИЯ СОСУДИСТОГО ЭНДОТЕЛИЯ И ЕЕ КОРРЕКЦИЯ У МОЛОДЫХ БОЛЬНЫХ ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ И СТАБИЛЬНОЙ СТЕНОКАРДИЕЙ | Игнатенко | Сибирский медицинский журнал Главная > Том 31, № 4 (2016) > Игнатенко",
21,10.32744/pse.2019.3.29,1.0,ru,https://pnojournal.wordpress.com/2019/07/02/delvig-redkina-donenko/,https://openalex.org/works/doi:10.32744/pse.2019.3.29,"анию института военного духовенства на Черноморском флоте в XIX – начале ХХ века // Перспективы науки и образования. 2019. № 3 (39). С. 386-398. doi: 10.32744/pse.2019.3.29 Дельвиг Наталья Андреевна (Россия, Севастополь) - Кандидат педагогических нау",Деятельность российских флотоводцев по созданию института военного духовенства на Черноморском флоте в XIX – начале ХХ века « Перспективы науки и образования Главная » История педагогической мысли » Д,
22,10.33048/daio.2019.26.636,1.0,ru,http://www.mathnet.ru/php/archive.phtml?wshow=paper&jrnid=da&paperid=932&option_lang=rus,https://openalex.org/works/doi:10.33048/daio.2019.26.636,"из алгоритмов 1 и 3) выполнено при поддержке гранта Российского фонда фундаментальных исследований (проект № 18–31–00219 мол_а). DOI: https://doi.org/10.33048/daio.2019.26.636 Journal of Applied and Industrial Mathematics, 2019, 13:3, 557–574 Статья ","Ф. С. Стонякин, М. Алкуса, А. Н. Степанов, А. А. Титов, “Адаптивные алгоритмы зеркального спуска для задач выпуклой и сильно выпуклой оптимизации с функциональными ограничениями”, Дискретн. анализ и и",
23,10.1002/jgrg.20,0.5,ru,http://jr.rse.cosmos.ru/article.aspx?id=2036,https://openalex.org/works/doi:10.1002/jgrg.20,ly warning information about drought and fire season severity in the Amazon // J. Geophysical Research Biogeosciences. 2013. V. 118. P. 495–504. DOI: 10.1002/jgrg.20,Современные проблемы дистанционного зондирования Земли из космоса. 2019. Т. 16. № 4. С. 247-255 Исследование характеристик аэрозолей над Чёрным морем посредством системы FIRMS во время пожаров за пери,
24,10.1007/s11629-016-4162-5,0.5,ru,http://atmospheric-circulation.ru/stati/page/3/,https://openalex.org/works/doi:10.1007/s11629-016-4162-5,"xed by Science Citation Index, Georef, Scopus, CABI, JSTChina, CSCD J. Mt. Sci. (2017) 14(1): 46-59 e-mail: jms@imde.ac.cn http://jms.imde.ac.cn DOI: 10.1007/s11629-016-4162-5 Influence of atmospheric circulation on precipitation in Altai Mountains M","Статьи — Страница 3 — Колебания циркуляции атмосферы северного полушария в XX — начале XXI века КЛИМАТ И ПРИРОДА, 4(21), 2016 3 КЛИМАТОЛОГИЯ УДК 551.911. АРКТИЧЕСКИЕ ВТОРЖЕНИЯ ПО Б.Л. ДЗЕРДЗЕЕВСКОМУ И",
25,10.1016/S0924-7963(99,0.5,ru,http://jr.rse.cosmos.ru/article.aspx?id=1572,https://openalex.org/works/doi:10.1016/S0924-7963(99,"8. Dewey R., Muench R., Gunn J. Mixing and vertical heat flux estimates in the Arctic Eurasian Basin // J. Mar. Syst. 1999. Vol. 21. P. 199–205. DOI: 10.1016/S0924-7963(99)00014-7. Dmitrenko I.A., Ivanov V.V., Kirillov S.A., Vinogradova E.L., Torres-",Современные проблемы дистанционного зондирования Земли из космоса. 2016. Т. 13. № 6. С. 99-109 Наблюдение короткопериодных внутренних волн в море Лаптевых на основе спутниковых радиолокационных измере,
26,10.1142/S0219635215500296,0.5,ru,http://iitp.ru/publications/index.php?lang=ru&search=&datestart=&datefinish=&type=&sort=&author=&structure=&userid=176&intcited=&print=1,https://openalex.org/works/doi:10.1142/S0219635215500296,"© World Scientific Publishing Co. http://www.worldscientific.com/worldscinet/jin http://www.worldscientific.com/doi/abs/10.1142/S0219635215500296	Толмачева Е.А., Огнивов В.В., Шевеленкова Т.Д., Бастаков В.А., Особенности проявления зрительного иллюзо","© World Scientific Publishing Co. http://www.worldscientific.com/worldscinet/jin http://www.worldscientific.com/doi/abs/10.1142/S0219635215500296	Толмачева Е.А., Огнивов В.В., Шевеленкова Т.Д., Бастак",
27,10.1186/1479-5876-10-239,0.5,ru,https://lib.ossn.ru/jour/article/view/96,https://openalex.org/works/doi:10.1186/1479-5876-10-239,"cco M. L., Bianchi P., Manni L. Nerve growth factor: from the early discoveries to the potential clinical use. J Translational Med 2012; 10:239. doi: 10.1186/1479-5876-10-239. 2. Cirulli F., Alleva E. The NGF saga: from animal models of psychosocial ","НЕВРОРОСТОВОЙ ФАКТОР У БОЛЬНЫХ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ: НЕЙРОПСИХИЧЕСКИЕ, ГЕМОДИНАМИЧЕСКИЕ, МЕТАБОЛИЧЕСКИЕ ВЗАИМОСВЯЗИ | Ушаков | Кардиология Главная > Том 58, № 2 (2018) > Ушаков НЕВРОРОСТОВОЙ ФАКТ",
28,10.15587/2313-8416.2016.74121,0.5,ru,http://atmospheric-circulation.ru/stati/page/3/,https://openalex.org/works/doi:10.15587/2313-8416.2016.74121," atmospheric circulation on precipitation in Altai Mountains"" Географічні науки Scientific Journal «ScienceRise» №7/1(24)2016 УДК 911, 656.6.052 DOI: 10.15587/2313-8416.2016.74121 ИЗМЕНЕНИЯ ЛЕДОВИТОСТИ И ВАРИАЦИИ ПОЛЯ АТМОСФЕРНОГО ДАВЛЕНИЯ В АРКТИКЕ ","Статьи — Страница 3 — Колебания циркуляции атмосферы северного полушария в XX — начале XXI века КЛИМАТ И ПРИРОДА, 4(21), 2016 3 КЛИМАТОЛОГИЯ УДК 551.911. АРКТИЧЕСКИЕ ВТОРЖЕНИЯ ПО Б.Л. ДЗЕРДЗЕЕВСКОМУ И",
29,10.15643/libartrus-2016.4.6,0.5,ru,http://libartrus.com/archive/2016/4/6/,https://openalex.org/works/doi:10.15643/libartrus-2016.4.6," Интерпретация смысла в межнациональной коммуникации на английском языке Российский гуманитарный журнал. 2016. Том 5. №4. С. 394-402. https://doi.org/10.15643/libartrus-2016.4.6 Институт иностранной филологии, Таврическая академия, Крымский федеральн",Интерпретация смысла в межнациональной коммуникации на английском языке - Российский гуманитарный журнал Интерпретация смысла в межнациональной коммуникации на английском языке Российский гуманитарный,
30,10.17513/msnv.19346,0.5,ru,http://eduherald.ru/ru/article/view?id=19346,https://openalex.org/works/doi:10.17513/msnv.19346,СОВРЕМЕННЫЕ МЕТОДЫ ВОССТАНОВЛЕНИЯ И РЕГЕНЕРАЦИИ ТКАНЕЙ СКЕЛЕТНЫХ МЫШЦ - Международный студенческий научный вестник (электронный научный журнал) 10.17513/msnv.19346 СОВРЕМЕННЫЕ МЕТОДЫ ВОССТАНОВЛЕНИЯ И РЕГЕНЕРАЦИИ ТКАНЕЙ СКЕЛЕТНЫХ МЫШЦ Середа Е.В. 1 Ба,СОВРЕМЕННЫЕ МЕТОДЫ ВОССТАНОВЛЕНИЯ И РЕГЕНЕРАЦИИ ТКАНЕЙ СКЕЛЕТНЫХ МЫШЦ - Международный студенческий научный вестник (электронный научный журнал) 10.17513/msnv.19346 СОВРЕМЕННЫЕ МЕТОДЫ ВОССТАНОВЛЕНИЯ И ,
31,10.17747/2311-7184-2016-8-1,0.5,ru,https://www.strategybusiness.ru/jour/article/view/253,https://openalex.org/works/doi:10.17747/2311-7184-2016-8-1,редита В. В. Кудревич Главная > № 8 (2016) >	Пискун ДЕТЕРМИНАНТЫ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ КРЫМ: ТЕОРИЯ И ПРАКТИКА https://doi.org/10.17747/2311-7184-2016-8-1 В статье исследованы методологические аспекты современных концепций реги,"ДЕТЕРМИНАНТЫ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ КРЫМ: ТЕОРИЯ И ПРАКТИКА | Пискун | Стратегии бизнеса Е. И. Пискун д-р экон. наук, доцент, профессор кафедры финансов и кредита В. В. Кудревич ",
32,10.17803/1994-1471.2018.86.1.041-046,0.5,ru,https://aprp.msal.ru/jour/article/view/732,https://openalex.org/works/doi:10.17803/1994-1471.2018.86.1.041-046,"https://doi.org/10.17803/1994-1471.2018.86.1.041-046 объединение граждан, свобода объединений, некоммерческие наименования, право на использование наименования, злоупотребление правом, законодательные о","https://doi.org/10.17803/1994-1471.2018.86.1.041-046 объединение граждан, свобода объединений, некоммерческие наименования, право на использование наименования, злоупотребление правом, законодательные",
33,10.18087/cardio.2018.2.10033,0.5,ru,https://lib.ossn.ru/jour/article/view/96,https://openalex.org/works/doi:10.18087/cardio.2018.2.10033,"18) > Ушаков НЕВРОРОСТОВОЙ ФАКТОР У БОЛЬНЫХ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ: НЕЙРОПСИХИЧЕСКИЕ, ГЕМОДИНАМИЧЕСКИЕ, МЕТАБОЛИЧЕСКИЕ ВЗАИМОСВЯЗИ https://doi.org/10.18087/cardio.2018.2.10033 Цель исследования. Изучить характер изменений содержания фактора роста ","НЕВРОРОСТОВОЙ ФАКТОР У БОЛЬНЫХ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ: НЕЙРОПСИХИЧЕСКИЕ, ГЕМОДИНАМИЧЕСКИЕ, МЕТАБОЛИЧЕСКИЕ ВЗАИМОСВЯЗИ | Ушаков | Кардиология Главная > Том 58, № 2 (2018) > Ушаков НЕВРОРОСТОВОЙ ФАКТ",
34,10.18097/PBMC20176305418,0.5,ru,http://pbmc.ibmc.msk.ru/index.php/ru/article/PBMC-2017-63-5-418-ru,https://openalex.org/works/doi:10.18097/PBMC20176305418,"нный университет, Новосибирск, Россия 5. Институт цитологии и генетики СО РАН, Новосибирск, Россия 6. Аграрный Университет Хуажонг, Ухань, Китай DOI: 10.18097/PBMC20176305418 Идентификатор PubMed: 29080874 Год: 2017 том: 63 выпуск:5 страницы: 418-422","1. Новосибирский государственный университет, Новосибирск, Россия; Институт морских биологических исследований, Севастополь, Россия 2. Новосибирский государственный университет, Новосибирск, Россия; У",
35,10.18720/SPBPU/3/2020/vr/vr20-1922,0.5,ru,https://elib.spbstu.ru/dl/3/2020/vr/vr20-1922.pdf/en/info,https://openalex.org/works/doi:10.18720/SPBPU/3/2020/vr/vr20-1922,"нции; водно-энергетический расчёт; water supply; pipeline; reservoir; water deficit; transportation; pumping stations; water-energy calcu-lation DOI: 10.18720/SPBPU/3/2020/vr/vr20-1922 Республика Крым имеет множество видов деятельности, для нормально",SPbPU EL - Технические решения обеспечения пресной водой Керченского полуострова: выпускная квалификационная ра... Title: Технические решения обеспечения пресной водой Керченского полуострова: выпускн,
36,10.19163/2307-9266-2018-6-6,0.5,ru,https://www.pharmpharm.ru/jour/issue/current,https://openalex.org/works/doi:10.19163/2307-9266-2018-6-6,"Том 6, № 6 (2018) Главная > Текущий > Том 6, № 6 (2018) https://doi.org/10.19163/2307-9266-2018-6-6 МОРФОМЕТРИЧЕСКОЕ И ГИСТОХИМИЧЕСКОЕ ИССЛЕДОВАНИЕ ТРАВЫ МЕЛИССЫ ЛЕКАРСТВЕННОЙ ИЗ КОЛЛЕКЦИИ НИКИТСКОГО БОТАНИЧЕСКОГО САДА 504-534 142 В статье представл","Том 6, № 6 (2018) Главная > Текущий > Том 6, № 6 (2018) https://doi.org/10.19163/2307-9266-2018-6-6 МОРФОМЕТРИЧЕСКОЕ И ГИСТОХИМИЧЕСКОЕ ИССЛЕДОВАНИЕ ТРАВЫ МЕЛИССЫ ЛЕКАРСТВЕННОЙ ИЗ КОЛЛЕКЦИИ НИКИТСКОГО ",
37,10.21046/2070-7401-2016-13-6-99-109,0.5,ru,http://jr.rse.cosmos.ru/article.aspx?id=1572,https://openalex.org/works/doi:10.21046/2070-7401-2016-13-6-99-109,"теорологический университет , Санкт-Петербург , Россия 2 Морской гидрофизический институт РАН, Севастополь, Россия Одобрена к печати: 04.10.2016 DOI: 10.21046/2070-7401-2016-13-6-99-109 Ключевые слова: короткопериодные внутренние волны, спутниковые р",Современные проблемы дистанционного зондирования Земли из космоса. 2016. Т. 13. № 6. С. 99-109 Наблюдение короткопериодных внутренних волн в море Лаптевых на основе спутниковых радиолокационных измере,
38,10.21046/2070-7401-2019-16-4-247-255,0.5,ru,http://jr.rse.cosmos.ru/article.aspx?id=2036,https://openalex.org/works/doi:10.21046/2070-7401-2019-16-4-247-255,"ы FIRMS во время пожаров за период 2007–2018 гг. Д.В. Калинская 1 , Д.А. Рябоконь 1 1 Морской гидрофизический институт РАН , Севастополь, Россия DOI: 10.21046/2070-7401-2019-16-4-247-255 Проведён статистический анализ данных по пожарам системы FIRMS ",Современные проблемы дистанционного зондирования Земли из космоса. 2019. Т. 16. № 4. С. 247-255 Исследование характеристик аэрозолей над Чёрным морем посредством системы FIRMS во время пожаров за пери,
39,10.21072/978-5-907118-89-8,0.5,ru,http://ecological-safety.ru/repository/issues/2020/02/10/,https://openalex.org/works/doi:10.21072/978-5-907118-89-8,"ежных акваторий юго-западного Крыма в начале ХХI века / Под ред. О. Г. Миронова, С. В. Алёмова. Симферополь: ИТ «АРИАЛ», 2018. 276 с. https://doi.org/10.21072/978-5-907118-89-8 Миронов О. Г. Потоки нефтяных углеводородов через морские организмы // Мо","Экологическая безопасность прибрежной и шельфовой зон моря | Статьи | Анаэробные бактерии в прибрежных наносах бухты Троицкой (Севастополь, Черное море) Анаэробные бактерии в прибрежных наносах бухты ",
