year,term,frequency
1958,Crimea Russia,1.4911124914172648e-11
1959,Crimea Russia,0.0
1960,Crimea Russia,0.0
1961,Crimea Russia,0.0
1962,Crimea Russia,0.0
1963,Crimea Russia,0.0
1964,Crimea Russia,0.0
1965,Crimea Russia,0.0
1966,Crimea Russia,5.022657686585116e-11
1967,Crimea Russia,5.022657686585116e-11
1968,Crimea Russia,5.022657686585116e-11
1969,Crimea Russia,5.022657686585116e-11
1970,Crimea Russia,5.022657686585116e-11
1971,Crimea Russia,5.022657686585116e-11
1972,Crimea Russia,5.850548815252869e-11
1973,Crimea Russia,8.278911286677522e-12
1974,Crimea Russia,1.6032872450301637e-11
1975,Crimea Russia,2.3743925476565105e-11
1976,Crimea Russia,2.3743925476565105e-11
1977,Crimea Russia,2.3743925476565105e-11
1978,Crimea Russia,2.3743925476565105e-11
1979,Crimea Russia,2.3195452998812728e-11
1980,Crimea Russia,2.3195452998812728e-11
1981,Crimea Russia,1.5441491835188614e-11
1982,Crimea Russia,2.1827851530233288e-11
1983,Crimea Russia,2.8867461000979334e-11
1984,Crimea Russia,2.8867461000979334e-11
1985,Crimea Russia,5.63975404076013e-11
1986,Crimea Russia,5.5237394023878645e-11
1987,Crimea Russia,5.5237394023878645e-11
1988,Crimea Russia,6.183165685807218e-11
1989,Crimea Russia,9.83727335701623e-11
1990,Crimea Russia,1.040037683950969e-10
1991,Crimea Russia,1.1651087287416802e-10
1992,Crimea Russia,1.1926195200057903e-10
1993,Crimea Russia,1.3108537271528624e-10
1994,Crimea Russia,1.3108537271528624e-10
1995,Crimea Russia,1.3665928210488636e-10
1996,Crimea Russia,1.040275474888703e-10
1997,Crimea Russia,1.0231051918361902e-10
1998,Crimea Russia,9.530400724552405e-11
1999,Crimea Russia,8.051086434439953e-11
2000,Crimea Russia,6.211715120448983e-11
2001,Crimea Russia,6.211715120448983e-11
2002,Crimea Russia,6.017849760175942e-11
2003,Crimea Russia,4.217174278437723e-11
2004,Crimea Russia,4.564304836862654e-11
2005,Crimea Russia,5.4342599864476426e-11
2006,Crimea Russia,3.885458423256795e-11
2007,Crimea Russia,7.97262355340627e-11
2008,Crimea Russia,1.0991519797506503e-10
2009,Crimea Russia,9.968567935400178e-11
2010,Crimea Russia,9.968567935400178e-11
2011,Crimea Russia,9.407970037931892e-11
2012,Crimea Russia,1.4585540017827573e-10
2013,Crimea Russia,2.1712540594829933e-10
2014,Crimea Russia,2.2564783077764058e-10
2015,Crimea Russia,2.4711784305361407e-10
2016,Crimea Russia,2.9471115726391924e-10
2017,Crimea Russia,3.4382968347457243e-10
2018,Crimea Russia,4.002491005294928e-10
2019,Crimea Russia,3.84853648949246e-10
