[2026-04-12T18:40:39.258813+00:00] C4 EN files 0-127
  File 0000: 281 Crimea (tot:281 RU=5 UA=27 356,317docs 13s)
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0001: 249 Crimea (tot:530 RU=7 UA=51 712,635docs 35s)
  File 0040: 260 Crimea (tot:11143 RU=130 UA=1129 14,609,008docs 1705s)
  File 0041: 267 Crimea (tot:11410 RU=134 UA=1152 14,965,326docs 1768s)
  File 0042: 251 Crimea (tot:11661 RU=138 UA=1185 15,321,643docs 1799s)
  File 0043: 282 Crimea (tot:11943 RU=144 UA=1217 15,677,960docs 1843s)
  File 0044: 287 Crimea (tot:12230 RU=148 UA=1246 16,034,277docs 1904s)
  File 0045: 298 Crimea (tot:12528 RU=150 UA=1285 16,390,595docs 1961s)
  File 0046: 267 Crimea (tot:12795 RU=155 UA=1314 16,746,912docs 2013s)
  File 0047: 251 Crimea (tot:13046 RU=157 UA=1346 17,103,229docs 2054s)
  File 0048: 290 Crimea (tot:13336 RU=160 UA=1378 17,459,547docs 2094s)
  File 0049: 291 Crimea (tot:13627 RU=163 UA=1404 17,815,864docs 2129s)
  File 0050: 288 Crimea (tot:13915 RU=163 UA=1424 18,172,181docs 2171s)
  File 0051: 250 Crimea (tot:14165 RU=164 UA=1446 18,528,498docs 2218s)
  File 0052: 269 Crimea (tot:14434 RU=168 UA=1469 18,884,816docs 2274s)
  File 0053: 280 Crimea (tot:14714 RU=171 UA=1489 19,241,133docs 2317s)
  File 0054: 288 Crimea (tot:15002 RU=180 UA=1513 19,597,450docs 2365s)
  File 0055: 299 Crimea (tot:15301 RU=183 UA=1542 19,953,768docs 2666s)
  File 0056: 262 Crimea (tot:15563 RU=183 UA=1562 20,310,085docs 2704s)
  File 0057: 275 Crimea (tot:15838 RU=185 UA=1594 20,666,402docs 2746s)
  File 0058: 272 Crimea (tot:16110 RU=189 UA=1614 21,022,719docs 2794s)
  File 0059: 278 Crimea (tot:16388 RU=195 UA=1641 21,379,037docs 2827s)
  File 0060: 309 Crimea (tot:16697 RU=199 UA=1671 21,735,354docs 2875s)
  File 0061: 290 Crimea (tot:16987 RU=206 UA=1701 22,091,671docs 2953s)
  File 0062: 278 Crimea (tot:17265 RU=210 UA=1733 22,447,988docs 3010s)
  File 0063: 283 Crimea (tot:17548 RU=212 UA=1761 22,804,306docs 3066s)
  File 0064: 277 Crimea (tot:17825 RU=213 UA=1795 23,160,623docs 3094s)
  File 0065: 273 Crimea (tot:18098 RU=215 UA=1823 23,516,940docs 3120s)
  File 0066: 255 Crimea (tot:18353 RU=217 UA=1846 23,873,258docs 3153s)
  File 0067: 309 Crimea (tot:18662 RU=224 UA=1886 24,229,575docs 3197s)
  File 0068: 249 Crimea (tot:18911 RU=225 UA=1915 24,585,892docs 3239s)
  File 0069: 241 Crimea (tot:19152 RU=225 UA=1938 24,942,209docs 3261s)
  File 0070: 256 Crimea (tot:19408 RU=227 UA=1959 25,298,527docs 3286s)
  File 0071: 290 Crimea (tot:19698 RU=233 UA=1984 25,654,844docs 3338s)
  File 0072: 272 Crimea (tot:19970 RU=237 UA=2006 26,011,161docs 3380s)
  File 0073: 293 Crimea (tot:20263 RU=242 UA=2041 26,367,479docs 3420s)
  File 0074: 301 Crimea (tot:20564 RU=246 UA=2071 26,723,796docs 3442s)
  File 0075: 289 Crimea (tot:20853 RU=250 UA=2101 27,080,113docs 3478s)
  File 0076: 240 Crimea (tot:21093 RU=253 UA=2122 27,436,430docs 3521s)
  File 0077: 304 Crimea (tot:21397 RU=256 UA=2155 27,792,748docs 3562s)
  File 0078: 279 Crimea (tot:21676 RU=262 UA=2184 28,149,065docs 4163s)
  File 0079: 276 Crimea (tot:21952 RU=267 UA=2210 28,505,382docs 4186s)
  File 0080: 272 Crimea (tot:22224 RU=272 UA=2228 28,861,699docs 4211s)
  File 0081: 327 Crimea (tot:22551 RU=277 UA=2262 29,218,017docs 4238s)
  File 0082: 285 Crimea (tot:22836 RU=283 UA=2299 29,574,334docs 4262s)
  File 0083: 283 Crimea (tot:23119 RU=286 UA=2322 29,930,651docs 4287s)
  File 0084: 281 Crimea (tot:23400 RU=291 UA=2349 30,286,969docs 4310s)
  File 0085: 273 Crimea (tot:23673 RU=294 UA=2374 30,643,286docs 4332s)
  File 0086: 297 Crimea (tot:23970 RU=294 UA=2400 30,999,603docs 4357s)
  File 0087: 279 Crimea (tot:24249 RU=299 UA=2425 31,355,920docs 4383s)
  File 0088: 291 Crimea (tot:24540 RU=304 UA=2460 31,712,238docs 4407s)
  File 0089: 287 Crimea (tot:24827 RU=306 UA=2486 32,068,555docs 4432s)
  File 0090: 247 Crimea (tot:25074 RU=308 UA=2518 32,424,872docs 4455s)
  File 0091: 300 Crimea (tot:25374 RU=311 UA=2553 32,781,190docs 4479s)
  File 0092: 274 Crimea (tot:25648 RU=317 UA=2573 33,137,507docs 4504s)
  File 0093: 274 Crimea (tot:25922 RU=322 UA=2602 33,493,824docs 4528s)
  File 0094: 276 Crimea (tot:26198 RU=323 UA=2628 33,850,141docs 4550s)
  File 0095: 272 Crimea (tot:26470 RU=327 UA=2653 34,206,459docs 4575s)
  File 0096: 281 Crimea (tot:26751 RU=334 UA=2685 34,562,776docs 4599s)
  File 0097: 276 Crimea (tot:27027 RU=335 UA=2720 34,919,093docs 4623s)
  File 0098: 283 Crimea (tot:27310 RU=338 UA=2741 35,275,410docs 4646s)
  File 0099: 271 Crimea (tot:27581 RU=341 UA=2766 35,631,728docs 4669s)
  File 0100: 256 Crimea (tot:27837 RU=346 UA=2790 35,988,045docs 4693s)
  File 0101: 283 Crimea (tot:28120 RU=353 UA=2816 36,344,362docs 4718s)
  File 0102: 278 Crimea (tot:28398 RU=357 UA=2839 36,700,680docs 4741s)
  File 0103: 275 Crimea (tot:28673 RU=359 UA=2859 37,056,997docs 4762s)
  File 0104: 291 Crimea (tot:28964 RU=360 UA=2887 37,413,314docs 4785s)
  File 0105: 293 Crimea (tot:29257 RU=364 UA=2912 37,769,631docs 4809s)
  File 0106: 277 Crimea (tot:29534 RU=367 UA=2944 38,125,949docs 4833s)
  File 0107: 281 Crimea (tot:29815 RU=367 UA=2974 38,482,266docs 4855s)
  File 0108: 295 Crimea (tot:30110 RU=371 UA=3009 38,838,583docs 4880s)
  File 0109: 271 Crimea (tot:30381 RU=375 UA=3031 39,194,901docs 4903s)
  File 0110: 279 Crimea (tot:30660 RU=379 UA=3051 39,551,218docs 4926s)
  File 0111: 272 Crimea (tot:30932 RU=381 UA=3084 39,907,535docs 4950s)
  File 0112: 278 Crimea (tot:31210 RU=384 UA=3114 40,263,852docs 4974s)
  File 0113: 295 Crimea (tot:31505 RU=388 UA=3150 40,620,170docs 4996s)
  File 0114: 280 Crimea (tot:31785 RU=391 UA=3174 40,976,487docs 5019s)
  File 0115: 286 Crimea (tot:32071 RU=394 UA=3201 41,332,804docs 5039s)
  File 0116: 272 Crimea (tot:32343 RU=396 UA=3229 41,689,121docs 5061s)
  File 0117: 270 Crimea (tot:32613 RU=399 UA=3250 42,045,439docs 5081s)
  File 0118: 274 Crimea (tot:32887 RU=400 UA=3274 42,401,756docs 5101s)
  File 0119: 284 Crimea (tot:33171 RU=404 UA=3307 42,758,073docs 5122s)
  File 0120: 277 Crimea (tot:33448 RU=408 UA=3335 43,114,391docs 5143s)
  File 0121: 275 Crimea (tot:33723 RU=413 UA=3354 43,470,708docs 5163s)
  File 0122: 313 Crimea (tot:34036 RU=415 UA=3385 43,827,025docs 5184s)
  File 0123: 266 Crimea (tot:34302 RU=419 UA=3412 44,183,342docs 5205s)
  File 0124: 238 Crimea (tot:34540 RU=421 UA=3438 44,539,660docs 5224s)
  File 0125: 299 Crimea (tot:34839 RU=428 UA=3464 44,895,977docs 5245s)
  File 0126: 272 Crimea (tot:35111 RU=431 UA=3488 45,252,294docs 5265s)
  File 0127: 252 Crimea (tot:35363 RU=435 UA=3511 45,608,612docs 5286s)
COMPLETE: 35363 Crimea, RU=435 UA=3511, 1.5h
