[2026-04-12T18:40:39.257153+00:00] C4 EN files 896-1023
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0896: 282 Crimea (tot:282 RU=0 UA=26 356,318docs 52s)
  File 0897: 318 Crimea (tot:600 RU=3 UA=57 712,635docs 100s)
  File 0956: 246 Crimea (tot:16806 RU=180 UA=1677 21,735,354docs 2794s)
  File 0957: 262 Crimea (tot:17068 RU=184 UA=1692 22,091,672docs 2826s)
  File 0958: 265 Crimea (tot:17333 RU=185 UA=1717 22,447,989docs 2874s)
  File 0959: 287 Crimea (tot:17620 RU=186 UA=1749 22,804,306docs 2915s)
  File 0960: 252 Crimea (tot:17872 RU=187 UA=1769 23,160,624docs 2940s)
  File 0961: 267 Crimea (tot:18139 RU=192 UA=1790 23,516,941docs 2977s)
  File 0962: 294 Crimea (tot:18433 RU=193 UA=1818 23,873,258docs 3011s)
  File 0963: 300 Crimea (tot:18733 RU=198 UA=1849 24,229,575docs 3058s)
  File 0964: 265 Crimea (tot:18998 RU=202 UA=1873 24,585,893docs 3112s)
  File 0965: 254 Crimea (tot:19252 RU=204 UA=1890 24,942,210docs 3141s)
  File 0966: 273 Crimea (tot:19525 RU=209 UA=1916 25,298,527docs 3179s)
  File 0967: 302 Crimea (tot:19827 RU=211 UA=1944 25,654,844docs 3205s)
  File 0968: 316 Crimea (tot:20143 RU=212 UA=1962 26,011,162docs 3251s)
  File 0969: 271 Crimea (tot:20414 RU=215 UA=1994 26,367,479docs 3290s)
  File 0970: 273 Crimea (tot:20687 RU=220 UA=2011 26,723,796docs 3320s)
  File 0971: 260 Crimea (tot:20947 RU=224 UA=2041 27,080,114docs 3350s)
  File 0972: 253 Crimea (tot:21200 RU=227 UA=2067 27,436,431docs 3382s)
  File 0973: 279 Crimea (tot:21479 RU=228 UA=2101 27,792,748docs 3427s)
  File 0974: 277 Crimea (tot:21756 RU=228 UA=2138 28,149,065docs 3474s)
  File 0975: 266 Crimea (tot:22022 RU=232 UA=2166 28,505,383docs 3522s)
  File 0976: 299 Crimea (tot:22321 RU=237 UA=2194 28,861,700docs 3561s)
/opt/anaconda3/lib/python3.12/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
