[2026-04-12T18:40:39.255222+00:00] C4 EN files 768-895
  File 0768: 269 Crimea (tot:269 RU=3 UA=26 356,317docs 23s)
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0769: 274 Crimea (tot:543 RU=7 UA=62 712,635docs 53s)
  File 0842: 276 Crimea (tot:20650 RU=230 UA=2129 26,723,796docs 3514s)
  File 0843: 285 Crimea (tot:20935 RU=231 UA=2158 27,080,113docs 3540s)
  File 0844: 276 Crimea (tot:21211 RU=232 UA=2184 27,436,430docs 3570s)
  File 0845: 264 Crimea (tot:21475 RU=235 UA=2212 27,792,748docs 4161s)
  File 0846: 279 Crimea (tot:21754 RU=238 UA=2243 28,149,065docs 4185s)
  File 0847: 301 Crimea (tot:22055 RU=240 UA=2272 28,505,382docs 4212s)
  File 0848: 288 Crimea (tot:22343 RU=242 UA=2298 28,861,699docs 4237s)
  File 0849: 270 Crimea (tot:22613 RU=244 UA=2331 29,218,017docs 4263s)
  File 0850: 278 Crimea (tot:22891 RU=246 UA=2365 29,574,334docs 4288s)
  File 0851: 278 Crimea (tot:23169 RU=249 UA=2387 29,930,651docs 4312s)
  File 0852: 293 Crimea (tot:23462 RU=254 UA=2412 30,286,969docs 4335s)
  File 0853: 277 Crimea (tot:23739 RU=256 UA=2428 30,643,286docs 4359s)
  File 0854: 287 Crimea (tot:24026 RU=260 UA=2451 30,999,603docs 4383s)
  File 0855: 283 Crimea (tot:24309 RU=262 UA=2485 31,355,920docs 4408s)
  File 0856: 286 Crimea (tot:24595 RU=265 UA=2503 31,712,238docs 4432s)
  File 0857: 254 Crimea (tot:24849 RU=269 UA=2531 32,068,555docs 4456s)
  File 0858: 266 Crimea (tot:25115 RU=274 UA=2557 32,424,872docs 4480s)
  File 0859: 292 Crimea (tot:25407 RU=275 UA=2589 32,781,190docs 4504s)
  File 0860: 264 Crimea (tot:25671 RU=276 UA=2606 33,137,507docs 4527s)
  File 0861: 244 Crimea (tot:25915 RU=276 UA=2625 33,493,824docs 4551s)
  File 0862: 285 Crimea (tot:26200 RU=276 UA=2648 33,850,141docs 4574s)
  File 0863: 272 Crimea (tot:26472 RU=278 UA=2678 34,206,459docs 4598s)
  File 0864: 291 Crimea (tot:26763 RU=280 UA=2703 34,562,776docs 4621s)
  File 0865: 276 Crimea (tot:27039 RU=286 UA=2726 34,919,093docs 4646s)
  File 0866: 287 Crimea (tot:27326 RU=291 UA=2751 35,275,410docs 4669s)
  File 0867: 273 Crimea (tot:27599 RU=292 UA=2773 35,631,728docs 4693s)
  File 0868: 252 Crimea (tot:27851 RU=295 UA=2806 35,988,045docs 4717s)
  File 0869: 289 Crimea (tot:28140 RU=297 UA=2838 36,344,362docs 4737s)
  File 0870: 275 Crimea (tot:28415 RU=301 UA=2859 36,700,680docs 4761s)
  File 0871: 291 Crimea (tot:28706 RU=303 UA=2883 37,056,997docs 4784s)
  File 0872: 274 Crimea (tot:28980 RU=308 UA=2908 37,413,314docs 4808s)
  File 0873: 280 Crimea (tot:29260 RU=315 UA=2934 37,769,631docs 4832s)
  File 0874: 266 Crimea (tot:29526 RU=322 UA=2960 38,125,949docs 4856s)
  File 0875: 308 Crimea (tot:29834 RU=331 UA=2997 38,482,266docs 4879s)
  File 0876: 275 Crimea (tot:30109 RU=336 UA=3026 38,838,583docs 4903s)
  File 0877: 231 Crimea (tot:30340 RU=337 UA=3040 39,194,901docs 4925s)
  File 0878: 259 Crimea (tot:30599 RU=340 UA=3059 39,551,218docs 4949s)
  File 0879: 307 Crimea (tot:30906 RU=342 UA=3094 39,907,535docs 4972s)
  File 0880: 276 Crimea (tot:31182 RU=346 UA=3117 40,263,852docs 4994s)
  File 0881: 288 Crimea (tot:31470 RU=350 UA=3138 40,620,170docs 5014s)
  File 0882: 278 Crimea (tot:31748 RU=353 UA=3171 40,976,487docs 5035s)
  File 0883: 267 Crimea (tot:32015 RU=359 UA=3194 41,332,804docs 5055s)
  File 0884: 269 Crimea (tot:32284 RU=365 UA=3222 41,689,121docs 5074s)
  File 0885: 279 Crimea (tot:32563 RU=367 UA=3250 42,045,439docs 5094s)
  File 0886: 266 Crimea (tot:32829 RU=374 UA=3284 42,401,756docs 5114s)
  File 0887: 293 Crimea (tot:33122 RU=378 UA=3317 42,758,073docs 5134s)
  File 0888: 269 Crimea (tot:33391 RU=382 UA=3349 43,114,391docs 5153s)
  File 0889: 261 Crimea (tot:33652 RU=383 UA=3373 43,470,708docs 5173s)
  File 0890: 269 Crimea (tot:33921 RU=385 UA=3407 43,827,025docs 5193s)
  File 0891: 286 Crimea (tot:34207 RU=389 UA=3433 44,183,342docs 5213s)
  File 0892: 297 Crimea (tot:34504 RU=395 UA=3457 44,539,660docs 5232s)
  File 0893: 267 Crimea (tot:34771 RU=397 UA=3485 44,895,977docs 5251s)
  File 0894: 257 Crimea (tot:35028 RU=398 UA=3504 45,252,294docs 5272s)
  File 0895: 275 Crimea (tot:35303 RU=398 UA=3530 45,608,611docs 5292s)
COMPLETE: 35303 Crimea, RU=398 UA=3530, 1.5h
