[2026-04-12T18:40:39.269067+00:00] C4 EN files 256-383
  File 0256: 276 Crimea (tot:276 RU=4 UA=28 356,317docs 50s)
  File 0257: 264 Crimea (tot:540 RU=7 UA=57 712,635docs 89s)
  File 0279: 277 Crimea (tot:6658 RU=88 UA=642 8,551,615docs 850s)
  File 0280: 293 Crimea (tot:6951 RU=90 UA=668 8,907,932docs 882s)
  File 0281: 274 Crimea (tot:7225 RU=92 UA=694 9,264,249docs 925s)
  File 0282: 270 Crimea (tot:7495 RU=94 UA=716 9,620,566docs 973s)
  File 0283: 252 Crimea (tot:7747 RU=98 UA=740 9,976,884docs 1023s)
  File 0284: 269 Crimea (tot:8016 RU=102 UA=766 10,333,201docs 1070s)
  File 0285: 263 Crimea (tot:8279 RU=105 UA=791 10,689,518docs 1111s)
  File 0286: 246 Crimea (tot:8525 RU=107 UA=814 11,045,836docs 1155s)
  File 0287: 285 Crimea (tot:8810 RU=110 UA=844 11,402,153docs 1190s)
  File 0288: 290 Crimea (tot:9100 RU=114 UA=875 11,758,470docs 1241s)
  File 0289: 277 Crimea (tot:9377 RU=117 UA=904 12,114,787docs 1297s)
  File 0290: 292 Crimea (tot:9669 RU=118 UA=931 12,471,105docs 1340s)
  File 0291: 300 Crimea (tot:9969 RU=124 UA=959 12,827,422docs 1383s)
  File 0292: 276 Crimea (tot:10245 RU=129 UA=990 13,183,739docs 1428s)
  File 0293: 247 Crimea (tot:10492 RU=133 UA=1009 13,540,057docs 1465s)
  File 0294: 269 Crimea (tot:10761 RU=140 UA=1031 13,896,374docs 1497s)
  File 0295: 304 Crimea (tot:11065 RU=145 UA=1060 14,252,691docs 1609s)
  File 0296: 266 Crimea (tot:11331 RU=147 UA=1078 14,609,008docs 1650s)
  File 0297: 259 Crimea (tot:11590 RU=147 UA=1105 14,965,326docs 1712s)
  File 0298: 285 Crimea (tot:11875 RU=152 UA=1136 15,321,643docs 1804s)
  File 0299: 298 Crimea (tot:12173 RU=156 UA=1165 15,677,960docs 1851s)
  File 0300: 254 Crimea (tot:12427 RU=163 UA=1192 16,034,277docs 1900s)
  File 0301: 281 Crimea (tot:12708 RU=167 UA=1221 16,390,595docs 1935s)
  File 0302: 287 Crimea (tot:12995 RU=169 UA=1247 16,746,912docs 1959s)
  File 0303: 304 Crimea (tot:13299 RU=172 UA=1283 17,103,229docs 2013s)
  File 0304: 275 Crimea (tot:13574 RU=172 UA=1307 17,459,547docs 2060s)
  File 0305: 267 Crimea (tot:13841 RU=175 UA=1332 17,815,864docs 2120s)
  File 0306: 243 Crimea (tot:14084 RU=178 UA=1360 18,172,181docs 2167s)
  File 0307: 253 Crimea (tot:14337 RU=183 UA=1382 18,528,498docs 2217s)
  File 0308: 283 Crimea (tot:14620 RU=187 UA=1413 18,884,816docs 2260s)
  File 0309: 256 Crimea (tot:14876 RU=189 UA=1436 19,241,133docs 2303s)
  File 0310: 279 Crimea (tot:15155 RU=190 UA=1458 19,597,450docs 2346s)
  File 0311: 293 Crimea (tot:15448 RU=192 UA=1484 19,953,768docs 2580s)
  File 0312: 271 Crimea (tot:15719 RU=195 UA=1509 20,310,085docs 2603s)
  File 0313: 325 Crimea (tot:16044 RU=198 UA=1535 20,666,402docs 2627s)
  File 0314: 261 Crimea (tot:16305 RU=201 UA=1553 21,022,719docs 2655s)
  File 0315: 254 Crimea (tot:16559 RU=203 UA=1581 21,379,037docs 2681s)
  File 0316: 299 Crimea (tot:16858 RU=206 UA=1619 21,735,354docs 2713s)
  File 0317: 252 Crimea (tot:17110 RU=208 UA=1648 22,091,671docs 2754s)
  File 0318: 313 Crimea (tot:17423 RU=217 UA=1677 22,447,988docs 2794s)
  File 0319: 294 Crimea (tot:17717 RU=219 UA=1706 22,804,306docs 2826s)
  File 0320: 280 Crimea (tot:17997 RU=222 UA=1723 23,160,623docs 2877s)
  File 0321: 261 Crimea (tot:18258 RU=224 UA=1742 23,516,940docs 2921s)
  File 0322: 298 Crimea (tot:18556 RU=226 UA=1775 23,873,258docs 2970s)
  File 0323: 287 Crimea (tot:18843 RU=230 UA=1797 24,229,575docs 3011s)
  File 0324: 297 Crimea (tot:19140 RU=235 UA=1836 24,585,892docs 3066s)
  File 0325: 274 Crimea (tot:19414 RU=238 UA=1859 24,942,209docs 3103s)
  File 0326: 278 Crimea (tot:19692 RU=241 UA=1888 25,298,527docs 3137s)
  File 0327: 282 Crimea (tot:19974 RU=245 UA=1915 25,654,844docs 3163s)
  File 0328: 258 Crimea (tot:20232 RU=248 UA=1938 26,011,161docs 3201s)
  File 0329: 289 Crimea (tot:20521 RU=250 UA=1965 26,367,479docs 3248s)
  File 0330: 274 Crimea (tot:20795 RU=253 UA=1986 26,723,796docs 3298s)
  File 0331: 259 Crimea (tot:21054 RU=255 UA=2008 27,080,113docs 3335s)
  File 0332: 267 Crimea (tot:21321 RU=258 UA=2030 27,436,430docs 3365s)
  File 0333: 307 Crimea (tot:21628 RU=265 UA=2054 27,792,748docs 3392s)
  File 0334: 251 Crimea (tot:21879 RU=266 UA=2072 28,149,065docs 3426s)
  File 0335: 300 Crimea (tot:22179 RU=268 UA=2104 28,505,382docs 3464s)
  File 0336: 270 Crimea (tot:22449 RU=272 UA=2134 28,861,699docs 3484s)
  File 0337: 297 Crimea (tot:22746 RU=277 UA=2170 29,218,017docs 3524s)
  File 0338: 270 Crimea (tot:23016 RU=281 UA=2192 29,574,334docs 3570s)
/opt/anaconda3/lib/python3.12/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
