[2026-04-12T18:40:39.256191+00:00] C4 EN files 512-639
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0512: 276 Crimea (tot:276 RU=5 UA=28 356,317docs 50s)
  File 0513: 275 Crimea (tot:551 RU=7 UA=53 712,635docs 90s)
  File 0568: 297 Crimea (tot:15803 RU=206 UA=1518 20,310,085docs 2691s)
  File 0569: 290 Crimea (tot:16093 RU=211 UA=1544 20,666,402docs 2718s)
  File 0570: 279 Crimea (tot:16372 RU=213 UA=1584 21,022,719docs 2755s)
  File 0571: 230 Crimea (tot:16602 RU=215 UA=1599 21,379,037docs 2778s)
  File 0572: 282 Crimea (tot:16884 RU=220 UA=1631 21,735,354docs 2813s)
  File 0573: 252 Crimea (tot:17136 RU=224 UA=1660 22,091,671docs 2836s)
  File 0574: 269 Crimea (tot:17405 RU=229 UA=1680 22,447,988docs 2880s)
  File 0575: 240 Crimea (tot:17645 RU=232 UA=1698 22,804,306docs 2913s)
  File 0576: 251 Crimea (tot:17896 RU=237 UA=1714 23,160,623docs 2936s)
  File 0577: 295 Crimea (tot:18191 RU=240 UA=1746 23,516,940docs 2961s)
  File 0578: 286 Crimea (tot:18477 RU=241 UA=1765 23,873,258docs 3011s)
  File 0579: 262 Crimea (tot:18739 RU=245 UA=1788 24,229,575docs 3055s)
  File 0580: 290 Crimea (tot:19029 RU=247 UA=1819 24,585,892docs 3103s)
  File 0581: 300 Crimea (tot:19329 RU=250 UA=1854 24,942,209docs 3157s)
  File 0582: 283 Crimea (tot:19612 RU=255 UA=1879 25,298,527docs 3194s)
  File 0583: 293 Crimea (tot:19905 RU=259 UA=1902 25,654,844docs 3219s)
  File 0584: 272 Crimea (tot:20177 RU=261 UA=1927 26,011,161docs 3250s)
  File 0585: 297 Crimea (tot:20474 RU=264 UA=1953 26,367,479docs 3289s)
  File 0586: 290 Crimea (tot:20764 RU=268 UA=1983 26,723,796docs 3336s)
  File 0587: 269 Crimea (tot:21033 RU=273 UA=2017 27,080,113docs 3386s)
  File 0588: 285 Crimea (tot:21318 RU=276 UA=2047 27,436,430docs 3435s)
  File 0589: 288 Crimea (tot:21606 RU=282 UA=2072 27,792,748docs 3473s)
  File 0590: 297 Crimea (tot:21903 RU=288 UA=2109 28,149,065docs 3513s)
  File 0591: 286 Crimea (tot:22189 RU=288 UA=2144 28,505,382docs 3545s)
  File 0592: 275 Crimea (tot:22464 RU=291 UA=2183 28,861,699docs 3574s)
